0,1,MeanDecreaseAccuracy,MeanDecreaseGini,feature,rank
81.84365704313214,92.84958933495001,116.1043646991855,1098.3796928805375,hourofday,1
21.888216772247002,48.50257938561723,50.06909795286702,172.92819064966443,temp_sd,2
34.80049063725739,38.31764906388458,46.75826456305365,54.42124860901782,age,3
36.7099346798008,25.2339275119863,43.81827029281493,265.24539561610476,acc_sd,4
36.363651185026065,24.84740133731881,42.662409270737584,77.45253982765966,acc_q1,5
24.280138191804117,27.180101466412374,37.689293350771045,128.2793049230831,hr_sd,6
29.628598596720753,18.956844868612965,36.147049496864824,69.24127274184988,acc_q2,7
27.709149010003724,23.589939525820636,35.89430990402271,92.29400330751783,acc_q3,8
27.61733994437177,19.964490839087993,35.344557062085464,72.79341714851579,acc_mean,9
23.37030304372651,28.41586868893534,35.2779521151878,711.8372330804682,hr_q3,10
23.28377143995677,25.865606453181126,34.5515109574569,663.0802293158393,hr_mean,11
22.89953624448592,23.874045945895507,31.92905596520588,505.318045367814,hr_q2,12
21.908281760861733,22.354273543948366,28.744819009008676,111.46962912881835,temp_q3,13
26.01720436136063,17.601946189907338,27.743532545373142,333.8813191819336,hr_q1,14
17.578023964187768,26.219859175863945,24.16479226646944,167.71493036219331,temp_q1,15
20.903710751021354,16.908977825962165,23.971486711605902,17.845014137293198,sex,16
21.997622375763346,11.463462001851362,23.309306823027658,15.705405473762877,eda_cat,17
17.686266443242797,21.120605869420245,23.112562713463408,123.10592854889661,temp_mean,18
17.179099399524553,22.462203937087583,21.952221106498527,110.59034566205666,temp_q2,19
